band_id_original,clean_dtype,raw_min,raw_max,mean_valid,std_valid,nonfinite_count_all,zero_count_all,negative_count_all,gt1_count_all,constant_valid,rmse_reference_valid,bias_reference_valid,rmse_fcls_valid,bias_fcls_valid,q0_valid,q0.01_valid,q0.05_valid,q0.25_valid,q0.5_valid,q0.75_valid,q0.95_valid,q0.99_valid,q1_valid
20,float64,280,2401,0.14428137999999996,0.05031108646506863,0,0,0,0,False,0.02135865121473957,0.0049936580140764,0.01584774291948582,0.003123501814971108,0.056,0.074998,0.089,0.1112,0.1398,0.1588,0.2476,0.34940200000000005,0.4802
21,float64,260,2520,0.14465285999999963,0.05282955000584802,0,0,0,0,False,0.02170836039074707,0.004842814072690219,0.01578671822667468,0.0025468318178235015,0.052,0.0702,0.0846,0.1076,0.1418,0.1618,0.252,0.3554,0.504
22,float64,224,2625,0.14250134000000006,0.05597258684574446,0,0,0,0,False,0.022080740659933165,0.0052435006842620245,0.015494606913571471,0.0024652070463647728,0.0448,0.0634,0.0766,0.1018,0.1416,0.162,0.2552,0.35900200000000004,0.525
23,float64,212,2669,0.1395565999999995,0.05720892388814886,0,0,0,0,False,0.021859733708585048,0.004577375466902748,0.01500501947139341,0.0016884419838563002,0.0424,0.0586,0.0726,0.099,0.1382,0.1582,0.25681999999999966,0.36020600000000014,0.5338
24,float64,194,2711,0.13462894000000017,0.057790449509208676,0,0,0,0,False,0.02199291839527727,0.0037606384917495527,0.01448449846834749,0.0012472579208479286,0.0388,0.055996000000000004,0.0696,0.098,0.1274,0.1478,0.2584,0.3616,0.5422
25,float64,190,2759,0.13002975999999952,0.05900221991029156,0,0,0,0,False,0.022176629050482496,0.0037113000872090263,0.014004165637260002,0.0014237005220354066,0.038,0.0538,0.0672,0.0968,0.1168,0.1396,0.2594,0.36380200000000007,0.5518
26,float64,173,2806,0.12853470000000058,0.060658148240034605,0,0,0,0,False,0.022231483665382898,0.0034286250868621236,0.014012104630915522,0.0009641313912544954,0.0346,0.0504,0.0634,0.095,0.1144,0.138,0.26120999999999983,0.3658,0.5612
27,float64,162,2851,0.1278070200000003,0.06218628732059505,0,0,0,0,False,0.02244471535783751,0.0030935401790685604,0.014102754086930102,0.0005314961582380298,0.0324,0.048,0.0614,0.0942,0.1122,0.1374,0.2646199999999997,0.3688,0.5702
28,float64,162,2866,0.1270834199999999,0.06317521999252237,0,0,0,0,False,0.022947539868724956,0.004143021457652545,0.013763646880128764,0.0014953890713040937,0.0324,0.047398,0.06,0.0936,0.1102,0.1368,0.266,0.3698,0.5732
29,float64,146,2910,0.12491099999999954,0.06496145662621801,0,0,0,0,False,0.022856437355472596,0.002623425649600571,0.014230980253278935,-3.20855488962841e-05,0.0292,0.04319800000000001,0.05579000000000001,0.0906,0.107,0.1346,0.2678,0.372,0.582
30,float64,137,2941,0.12196441999999949,0.06695613723971536,0,0,0,0,False,0.022976271610893745,0.002354165965450823,0.014389543696726724,-0.00037366024011492805,0.0274,0.04,0.0518,0.086,0.102,0.1322,0.2706,0.3742040000000001,0.5882
31,float64,127,2988,0.11919013999999976,0.06922952013975235,0,0,0,0,False,0.023279690921021917,0.002584058043396767,0.014298627775822376,-0.0002750842159489267,0.0254,0.0366,0.0478,0.0818,0.0974,0.13105,0.2724099999999998,0.37720200000000004,0.5976
32,float64,123,3033,0.11878402000000007,0.07076807339923558,0,0,0,0,False,0.023717428130419667,0.0023782861426533625,0.01440933559357266,-0.00037262998030115636,0.0246,0.03619800000000001,0.0472,0.0794,0.0952,0.13244999999999998,0.277,0.38020200000000004,0.6066
33,float64,126,3080,0.12046093999999943,0.07018104338292809,0,0,0,0,False,0.02382853821552046,0.0018338998238884145,0.01493007151254153,-0.0009233719272021123,0.0252,0.0378,0.0482,0.0824,0.098,0.133,0.2754099999999998,0.3826060000000001,0.616
34,float64,127,3178,0.1209697599999995,0.0727361059003188,0,0,0,0,False,0.024379876564846876,0.0011876054822352144,0.015806509824802153,-0.0016127896008833339,0.0254,0.0362,0.0466,0.0812,0.0972,0.1348,0.2818,0.3902040000000001,0.6356
35,float64,131,3270,0.12363223999999959,0.07509794032183835,0,0,0,0,False,0.025201900548076892,0.0016187227233730205,0.015954440638120796,-0.001197220527403986,0.0262,0.0386,0.0494,0.0808,0.0974,0.14,0.2896,0.3992,0.654
36,float64,189,3343,0.13296636000000034,0.07629931001228246,0,0,0,0,False,0.02641005582799778,0.0024316590000788875,0.016192872457747243,0.0005516160454242215,0.0378,0.055198000000000004,0.0668,0.0812,0.1034,0.15685,0.299,0.4078,0.6686
37,float64,246,3434,0.1551242400000003,0.07987068421155795,0,0,0,0,False,0.028665483508856168,0.003677934072510851,0.017409418384542102,0.004450877285426293,0.0492,0.05679800000000001,0.0634,0.0852,0.1466,0.1938,0.309,0.4086040000000001,0.6868
38,float64,180,3508,0.18197748000000027,0.09482579124294009,0,0,0,0,False,0.03304857748117031,0.005628266788463556,0.02269122947516291,0.009784829661998215,0.036,0.0446,0.051,0.0734,0.2096,0.2432,0.3206,0.4116020000000001,0.7016
39,float64,117,3600,0.21005160000000034,0.11984630921909924,0,0,0,0,False,0.03834518074989841,0.005709090249455592,0.029898516711620055,0.0137739549178039,0.0234,0.0314,0.0376,0.0598,0.266,0.3,0.3528,0.416,0.72
40,float64,70,3618,0.2344285800000007,0.14486477803518594,0,0,0,0,False,0.04403498965101364,0.006370475906705435,0.0378063475058614,0.017836428158771376,0.014,0.0216,0.0276,0.0492,0.305,0.347,0.405,0.44380200000000003,0.7236
41,float64,55,3684,0.2559658800000004,0.1651183044117932,0,0,0,0,False,0.04946907208528284,0.008165160851340444,0.04535228725981153,0.022164646177313774,0.011,0.0176,0.02379000000000001,0.045,0.3302,0.3864,0.4548,0.511202,0.7368
42,float64,46,3750,0.2714151199999999,0.17826118508353328,0,0,0,0,False,0.053615507698378174,0.010833090929591878,0.050996800944132954,0.026133653955323303,0.0092,0.016998000000000003,0.023,0.0442,0.3472,0.4122,0.4916,0.5568100000000001,0.75
43,float64,37,3815,0.28064044000000044,0.18666797108397037,0,0,0,0,False,0.05532201854985802,0.01006447605120195,0.05253791793602583,0.026330743395412488,0.0074,0.0152,0.021,0.0426,0.359,0.428,0.5118199999999997,0.581802,0.763
44,float64,32,3901,0.2885532599999995,0.19316327771958253,0,0,0,0,False,0.057754471270704356,0.012037858347885037,0.05522507033713478,0.02853740229295455,0.0064,0.014,0.0202,0.0422,0.3694,0.4404,0.5300099999999999,0.602202,0.7802
45,float64,46,3935,0.2953680599999995,0.19590469993299425,0,0,0,0,False,0.05881845333058561,0.012855252261984133,0.056364474615172425,0.029482402061061966,0.0092,0.0174,0.0232,0.0454,0.3764,0.4496,0.5406,0.6134,0.787
46,float64,49,3983,0.30008656000000067,0.19874500713066168,0,0,0,0,False,0.05958628343452426,0.01358600479443228,0.057286526141530826,0.0304222615581593,0.0098,0.018,0.024,0.0462,0.3827,0.4566,0.5482,0.6206040000000002,0.7966
47,float64,55,3979,0.3042700800000006,0.2009692787686568,0,0,0,0,False,0.06048399402994323,0.014125953216811078,0.058001838361025376,0.030932305131235648,0.011,0.0188,0.025,0.0472,0.3882,0.4628,0.5546099999999998,0.6270040000000001,0.7958
48,float64,61,3985,0.30685474000000024,0.2022279832454757,0,0,0,0,False,0.061091786072501465,0.015199733515459559,0.05870696170855258,0.03195562175986699,0.0122,0.0196,0.0254,0.048,0.3918,0.4666,0.5572099999999999,0.6296020000000001,0.797
49,float64,50,4017,0.3115053399999997,0.20619707667055814,0,0,0,0,False,0.06123830895386257,0.014376641577061346,0.05840567143042215,0.03150208978768538,0.01,0.0184,0.02439000000000001,0.0472,0.4,0.4742,0.5654,0.6368,0.8034
50,float64,40,4054,0.3153842200000007,0.21017307207868338,0,0,0,0,False,0.06318925263490248,0.015861885375787324,0.06022638851437177,0.03300712936792178,0.008,0.0164,0.0228,0.0454,0.4064,0.4816,0.5730099999999998,0.6466040000000001,0.8108
51,float64,37,4051,0.31841013999999956,0.21401798613476428,0,0,0,0,False,0.06466804223837574,0.01672688098579595,0.061600058592234594,0.0340403640881712,0.0074,0.0148,0.0208,0.04335,0.4106,0.4886,0.5806,0.653602,0.8102
52,float64,41,4076,0.32216892000000014,0.2169850470102363,0,0,0,0,False,0.06423892913094591,0.014930358016644288,0.06065972199573256,0.032672449382770544,0.0082,0.0146,0.0208,0.0432,0.4154,0.495,0.5876099999999999,0.6600080000000003,0.8152
53,float64,33,4092,0.32586876000000053,0.2199669022922828,0,0,0,0,False,0.06542618041239422,0.015827934227013455,0.061763712903060146,0.03362720270765152,0.0066,0.014,0.0202,0.0432,0.4208,0.5014,0.5938099999999998,0.6678080000000002,0.8184
54,float64,35,4102,0.3292113400000004,0.222500142533448,0,0,0,0,False,0.06679607673231257,0.016939906799173027,0.0631351364421362,0.03477001613474275,0.007,0.0142,0.0202,0.043,0.4253,0.507,0.5996,0.673802,0.8204
55,float64,28,4114,0.332848259999999,0.22561779137952004,0,0,0,0,False,0.06713316460464833,0.016050574485244447,0.06289047742139682,0.034031212604522805,0.0056,0.0134,0.0196,0.0424,0.4306,0.5134,0.6066,0.6808040000000001,0.8228
56,float64,28,4136,0.33724860000000006,0.2287379553070277,0,0,0,0,False,0.06786490334582938,0.01655594839007607,0.06359366855569673,0.0347673764822919,0.0056,0.0136,0.0196,0.0428,0.4366,0.5206,0.6144199999999996,0.6884020000000001,0.8272
57,float64,22,4178,0.3424166400000026,0.23302805356246345,0,0,0,0,False,0.06977362673389433,0.01800395983378459,0.06546225846814088,0.03637880439622316,0.0044,0.012398000000000001,0.019,0.042,0.4444,0.5298,0.6232,0.6964100000000002,0.8356
58,float64,13,4205,0.3442206200000012,0.23501301785819226,0,0,0,0,False,0.06929179124546163,0.016646917152112858,0.06426383375063793,0.035153491740533206,0.0026,0.0114,0.0174,0.0408,0.44830000000000003,0.5328,0.6260099999999998,0.6996,0.841
59,float64,24,4181,0.34572704,0.2359767629679638,0,0,0,0,False,0.07063456796728525,0.018213618406599838,0.06552599916282804,0.036481596124880576,0.0048,0.0112,0.0174,0.041,0.4522,0.5354,0.6270099999999998,0.699802,0.8362
60,float64,16,4201,0.34777173999999983,0.2373301858874506,0,0,0,0,False,0.0704017012009769,0.017741782593458894,0.06520434494526377,0.03622329969599931,0.0032,0.011598,0.0176,0.0412,0.4546,0.53905,0.6298099999999999,0.7012080000000002,0.8402
61,float64,1,4183,0.34525836000000115,0.23878261297278475,0,0,0,0,False,0.06994677767397363,0.01645746294304144,0.06344002597437064,0.03480517343421627,0.0002,0.0062,0.012,0.0354,0.4563,0.53725,0.6250099999999998,0.6928,0.8366
62,float64,0,4229,0.3446731199999992,0.24055618802571968,0,5,0,0,False,0.07133311158107915,0.01729188532480596,0.0641462653020811,0.03539092140249358,0.0,0.0024,0.0084,0.0322,0.4582,0.5388,0.624,0.6892040000000001,0.8458
63,float64,0,4237,0.3443691,0.23901413049690104,0,4,0,0,False,0.07103620833942675,0.01829133743022746,0.0638577011870079,0.03612404718871188,0.0,0.0036,0.0098,0.033549999999999996,0.46,0.5376,0.6190199999999997,0.6810020000000001,0.8474
64,float64,1,4273,0.3445007599999998,0.2357433879272598,0,0,0,0,False,0.06998007832944042,0.01734864001889169,0.06172845039583798,0.034594532623383786,0.0002,0.008,0.0138,0.0374,0.4607,0.5356,0.6114099999999999,0.6684040000000001,0.8546
65,float64,15,4290,0.3459513799999995,0.23542731083732804,0,0,0,0,False,0.07026211401714866,0.0181340736298381,0.062324380171797665,0.03535607256278361,0.003,0.009798000000000001,0.0158,0.0394,0.4618,0.5366,0.613,0.6692040000000001,0.858
66,float64,13,4279,0.34557168000000044,0.23500846256672886,0,0,0,0,False,0.07087867031612385,0.01887595847697177,0.06274353761651325,0.03573750043931452,0.0026,0.0102,0.016,0.0396,0.4616,0.5362,0.612,0.6670100000000002,0.8558
67,float64,19,4290,0.3493608399999996,0.23754153013419457,0,0,0,0,False,0.07109676935699223,0.01829682092352976,0.06290614346977992,0.03549874005383606,0.0038,0.0106,0.01679000000000001,0.0402,0.466,0.54245,0.619,0.6754020000000001,0.858
68,float64,15,4325,0.35310931999999845,0.24039669044547463,0,0,0,0,False,0.07226432545259284,0.019418850805015753,0.06446263594232765,0.036839973899522434,0.003,0.0108,0.0168,0.0402,0.4702,0.5488,0.6268,0.6840040000000002,0.865
69,float64,18,4355,0.35766767999999954,0.24377359029110876,0,0,0,0,False,0.0735579616273598,0.020237506692528592,0.06600949678251682,0.037936230751948116,0.0036,0.0108,0.017,0.0404,0.4754,0.5562,0.6358099999999999,0.694,0.871
70,float64,18,4368,0.3615712800000001,0.24682956176106954,0,0,0,0,False,0.07422997890130083,0.02047087655431129,0.06684470108603963,0.038438687328695514,0.0036,0.0112,0.017,0.0402,0.4796,0.5628,0.6442,0.7036020000000001,0.8736
71,float64,18,4377,0.36596305999999945,0.25025142117366006,0,0,0,0,False,0.0760544766012589,0.02163115172563001,0.06893056541092908,0.039824938870597154,0.0036,0.0112,0.0172,0.0404,0.4844,0.5706,0.654,0.7150080000000002,0.8754
72,float64,20,4408,0.3702467199999988,0.25350564809731896,0,0,0,0,False,0.07694933323117746,0.022074916979422505,0.06997313147220872,0.0405035781404316,0.004,0.0112,0.0172,0.0408,0.4888,0.5778,0.6622,0.7234040000000002,0.8816
73,float64,22,4439,0.3743050799999996,0.256540328927429,0,0,0,0,False,0.07920302581560981,0.024600764180229117,0.07292062342479226,0.043157842702573224,0.0044,0.011598,0.0174,0.04115,0.4932,0.58485,0.6702,0.7320100000000002,0.8878
74,float64,20,4447,0.3783870200000019,0.2595352360885115,0,0,0,0,False,0.07988425515145675,0.024463161875286823,0.07334400827270059,0.0431691622060659,0.004,0.0116,0.0176,0.041,0.4982,0.5916,0.6772,0.740402,0.8894
75,float64,25,4488,0.38231315999999926,0.2623573090173285,0,0,0,0,False,0.08099385791271252,0.025298112325428862,0.07468219024993208,0.04424156301203145,0.005,0.0118,0.0178,0.04135,0.5031,0.5978,0.6846,0.7484040000000001,0.8976
76,float64,26,4563,0.3887713199999983,0.26691866494768907,0,0,0,0,False,0.08196958375672642,0.025268767938961004,0.07537960819791627,0.04453577200465898,0.0052,0.012,0.018,0.0416,0.5118,0.6082,0.6964,0.7608060000000002,0.9126
77,float64,28,4547,0.38796551999999984,0.26639272696365046,0,0,0,0,False,0.08243185145506061,0.026438760255386218,0.07613152433539495,0.04557639868520268,0.0056,0.012,0.0178,0.0412,0.5114,0.6074,0.6940099999999998,0.7588040000000001,0.9094
78,float64,24,4568,0.38835073999999964,0.2667142725417093,0,0,0,0,False,0.0815345339517241,0.024953710325701168,0.0744615539603797,0.044015255078903734,0.0048,0.0118,0.0176,0.041,0.513,0.6076,0.6938,0.758202,0.9136
79,float64,16,4551,0.38636235999999885,0.2654603419255516,0,0,0,0,False,0.08207524462166772,0.026241118307513914,0.07500384225579375,0.044998420880796794,0.0032,0.0114,0.017,0.0404,0.5124,0.6046,0.6886,0.7524,0.9102
80,float64,2,4546,0.3814975000000008,0.2639322177411274,0,0,0,0,False,0.08053641629842383,0.025055457474889225,0.07263204436684197,0.043550775600453034,0.0004,0.0076,0.0136,0.03655,0.5104,0.5988,0.6782099999999999,0.7368040000000001,0.9092
81,float64,0,4584,0.3758369600000016,0.2635208129350674,0,7,0,0,False,0.07995538127576395,0.023456453280023132,0.07041131450215789,0.04148843892878191,0.0,0.0018,0.0072,0.0304,0.5084,0.5912,0.6700099999999999,0.7264,0.9168
82,float64,0,4601,0.37250346000000073,0.2590926653458727,0,3,0,0,False,0.0804732961921885,0.025455163042917693,0.07064548413636249,0.04259600064053457,0.0,0.0034,0.0096,0.0324,0.5052,0.5842,0.6584099999999998,0.7108,0.9202
83,float64,0,4654,0.3650002399999997,0.25292647842395366,0,1,0,0,False,0.07758193858823863,0.023408652546756014,0.06640247677879317,0.03976652468830505,0.0,0.004,0.0096,0.033,0.4984,0.5714,0.6376,0.688802,0.9308
84,float64,0,4676,0.35562651999999967,0.2445490207886538,0,1,0,0,False,0.07557042904298539,0.022395953152935504,0.06283057045512737,0.03745678496871704,0.0,0.0054,0.0112,0.0342,0.4862,0.55445,0.617,0.664602,0.9352
85,float64,16,4610,0.3498576799999994,0.2373595773020705,0,0,0,0,False,0.07158319418889034,0.01912246291359195,0.05800332064995656,0.03361531817263491,0.0032,0.009998000000000002,0.0156,0.0382,0.4772,0.5424,0.603,0.6508020000000001,0.922
86,float64,19,4682,0.35133526000000026,0.23792668172513176,0,0,0,0,False,0.07315711903871114,0.021025391564104316,0.05979738167139606,0.03529159525098569,0.0038,0.0106,0.0164,0.039,0.4778,0.5444,0.6062099999999998,0.6540040000000001,0.9364
87,float64,17,4696,0.35077264000000113,0.23765017834504165,0,0,0,0,False,0.07320242108673614,0.020929451800740167,0.059702210932106224,0.0351451764722594,0.0034,0.0104,0.0162,0.0386,0.4769,0.5432,0.6056199999999997,0.6532040000000001,0.9392
88,float64,19,4742,0.3521686199999989,0.2384825151227993,0,0,0,0,False,0.07303701198057468,0.020118773079887346,0.05889911071489427,0.03420634065221277,0.0038,0.0108,0.0166,0.0392,0.4784,0.5456,0.6084,0.6558,0.9484
89,float64,20,4785,0.3548134599999997,0.2404073236796831,0,0,0,0,False,0.07491751784440777,0.021859292899563395,0.06082802223328709,0.03584397979486646,0.004,0.011,0.0168,0.0396,0.481,0.55,0.6134099999999998,0.6618020000000001,0.957
90,float64,22,4804,0.35784182000000164,0.24260209296518348,0,0,0,0,False,0.0751640805003486,0.02189008306596838,0.06114019598735227,0.03604401543001695,0.0044,0.011,0.0168,0.0394,0.4848,0.55485,0.6192,0.6686040000000001,0.9608
91,float64,23,4849,0.363701879999999,0.24674927930282864,0,0,0,0,False,0.07666318453273513,0.02276410078917147,0.0627081885811751,0.03716675428437136,0.0046,0.0114,0.0172,0.04,0.4924,0.5646,0.6302099999999998,0.678802,0.9698
92,float64,22,4887,0.36904306000000003,0.25065592952459104,0,0,0,0,False,0.07809472485600692,0.0234016166595325,0.06418631939099702,0.03808805568112193,0.0044,0.0116,0.0174,0.04,0.5001,0.5732,0.6398099999999999,0.687602,0.9774
93,float64,29,4895,0.3731721400000004,0.25372586667468733,0,0,0,0,False,0.07946598932832717,0.024488562201942052,0.06615052210748647,0.039577675817784305,0.0058,0.0118,0.0174,0.0402,0.5052,0.5802,0.6484,0.6958,0.979
94,float64,23,4927,0.3769328800000016,0.2565858097068204,0,0,0,0,False,0.08034067806992745,0.024775129302610114,0.06683534107786797,0.03993878934625847,0.0046,0.0116,0.0174,0.04,0.5092,0.5866,0.6554,0.7032060000000002,0.9854
95,float64,22,4918,0.38016628000000036,0.25857974831560504,0,0,0,0,False,0.08231811031529117,0.026025663618134496,0.06871166202438209,0.041266924386647794,0.0044,0.012598000000000002,0.01839000000000001,0.0414,0.5135,0.5922,0.6612,0.7092,0.9836
96,float64,38,4974,0.38196677999999784,0.2563674811134053,0,0,0,0,False,0.0806958476895644,0.02586401399775812,0.06729110381291716,0.04083061791456777,0.0076,0.0156,0.0224,0.0452,0.5152,0.59205,0.6600099999999999,0.706802,0.9948
97,float64,45,4976,0.3828232400000001,0.25871951358160294,0,0,0,0,False,0.07937349649053826,0.02368336498982925,0.06594153064819747,0.039362090799636124,0.009,0.0142,0.0206,0.0432,0.517,0.5954,0.6602,0.7070040000000001,0.9952
98,float64,30,5002,0.38548217999999984,0.26048959858398746,0,0,0,1,False,0.0788592507098288,0.022749780897955006,0.06480268780631249,0.038321957390218014,0.006,0.014198000000000002,0.0212,0.042,0.5214,0.6002,0.6652,0.7122040000000002,1.0004
99,float64,36,4970,0.38590518000000146,0.26081056335426317,0,0,0,0,False,0.07944065062844316,0.023434632500230267,0.06544257076865946,0.03901266515088314,0.0072,0.0144,0.021,0.04335,0.5214,0.601,0.6662099999999999,0.7112040000000002,0.994
100,float64,44,4961,0.38477032000000155,0.26023130117473847,0,0,0,0,False,0.0802130232370993,0.024841607611433742,0.06659894438466721,0.04024764545170908,0.0088,0.0148,0.0208,0.0424,0.5197,0.5996,0.6652,0.7094020000000001,0.9922
101,float64,43,4995,0.38309150000000003,0.2590358282549931,0,0,0,0,False,0.08034652326431553,0.025139898659758173,0.0661149625653018,0.040072302910303344,0.0086,0.0158,0.02119000000000001,0.042,0.5174,0.5964,0.663,0.7076,0.999
102,float64,40,5094,0.38833058000000054,0.26283275231383146,0,0,0,1,False,0.07981680621221304,0.022913238353955798,0.06447190188488652,0.03807175249073095,0.008,0.0154,0.0212,0.0426,0.5232,0.6048,0.6732,0.7202,1.0188
103,float64,39,5236,0.3947998399999995,0.26742187232904885,0,0,0,3,False,0.08152716348054038,0.023468143986202266,0.06462375605942845,0.03822867210669383,0.0078,0.0142,0.0216,0.044,0.5307,0.6144,0.6868,0.737002,1.0472
104,float64,27,5300,0.3900958600000002,0.2645307177150885,0,0,0,3,False,0.07961447992068618,0.020928632927473424,0.06080475168262698,0.034872105732824045,0.0054,0.0144,0.0206,0.0434,0.5218,0.6064,0.6834,0.7368040000000001,1.06
105,float64,28,5388,0.3842662599999985,0.26157082243555546,0,0,0,3,False,0.07944282627440653,0.02095149460281939,0.05920345066711535,0.033772928782515116,0.0056,0.0138,0.0196,0.0422,0.5106,0.5986,0.6790099999999999,0.7416060000000002,1.0776
106,float64,27,5437,0.379907740000002,0.25978836504372904,0,0,0,3,False,0.07665549779493439,0.017536831137011936,0.055342565756221394,0.029555188175541862,0.0054,0.013,0.0176,0.0426,0.4996,0.592,0.6802,0.7486020000000001,1.0874
107,float64,35,4926,0.38539687999999994,0.26793737493352054,0,0,0,0,False,0.09235711345587236,0.023156950826254404,0.08093538902598886,0.034039165335355344,0.007,0.0074,0.0076,0.043,0.5024,0.6042,0.7078099999999998,0.781402,0.9852
113,float64,7,3518,0.2164691600000007,0.17346914054348211,0,0,0,0,False,0.06729389913343826,0.010732965845194111,0.058213941214579214,0.01013859079011605,0.0014,0.0026,0.0086,0.0302,0.2132,0.34885,0.5106199999999997,0.5866,0.7036
114,float64,0,3758,0.2058496200000011,0.1642842891266691,0,30,0,0,False,0.053826884559322816,0.004675602500472629,0.04518336770009352,0.005137711937909476,0.0,0.0034,0.0036,0.0272,0.2,0.32925,0.4886,0.5650060000000001,0.7516
115,float64,2,4025,0.20052197999999705,0.15900735695205917,0,0,0,0,False,0.05142113339479313,0.008358770670059587,0.04013996425772793,0.008277760238493822,0.0004,0.002,0.008,0.0346,0.1905,0.3176,0.4764,0.5538060000000001,0.805
116,float64,2,4225,0.19745801999999918,0.15718381142369586,0,0,0,0,False,0.04748606943699517,0.002813107774365124,0.03468012794414997,0.0024991589862324907,0.0004,0.0052,0.0118,0.0314,0.186,0.3128,0.47360999999999986,0.5502120000000003,0.845
117,float64,8,4318,0.19409957999999938,0.15497498897507198,0,0,0,0,False,0.045546096083956114,0.004905193634212957,0.029027083484610024,0.004798153212174495,0.0016,0.0062,0.0128,0.0336,0.1824,0.3082,0.46480999999999983,0.5432100000000002,0.8636
118,float64,2,4378,0.19372586000000028,0.1542968291937984,0,0,0,0,False,0.044697300537912536,0.004274270334093115,0.02816436098134917,0.0041682582003247075,0.0004,0.007,0.0128,0.033,0.1822,0.3082,0.4628199999999997,0.5408080000000002,0.8756
119,float64,1,4361,0.19703385999999995,0.15624599254221053,0,0,0,0,False,0.04494329600970362,0.0033399313792592976,0.028156754154930328,0.003175850972317706,0.0002,0.0072,0.0118,0.0332,0.18830000000000002,0.3144,0.46500999999999987,0.5460020000000001,0.8722
